frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
12783276,0,-135.283,-66.5784,-63.0159,-146.299,13.7329,161.649,5.78386,5.11625,1.61789,4.58482,4.10091,-0.707847,1021.16,1,1
12876178,0,-135.282,-66.5793,-63.0116,-146.3,13.7342,161.646,5.78416,5.11622,1.61791,4.58484,4.10039,-0.707847,1021.16,1,1
13035879,0,-135.292,-63.2728,-62.9801,-153.093,13.7342,161.709,5.76415,5.18321,1.61183,3.58877,3.56194,-0.70658,1021.17,1,1
13102768,0,-139.268,-63.2846,-62.9722,-153.098,12.4095,161.695,6.5974,5.10024,1.58604,3.53177,3.50388,-0.695214,1021.17,1,1
13285276,0,-139.239,-63.1854,-67.3956,-146.509,6.74947,167.196,6.69372,5.18918,2.2633,3.58698,4.07268,-0.681584,1021.16,1,1
13446277,0,-144.1,-63.1852,-62.6807,-146.493,6.74088,167.211,5.86518,5.11864,1.58868,3.59085,4.07874,-0.682723,1021.16,1,1
13614681,0,-144.111,-63.059,-62.7223,-146.521,6.68985,167.287,5.85688,5.12147,1.59062,3.58577,4.08127,-0.682401,1021.16,1,1
13740615,0,-144.098,-58.9179,-62.7001,-146.494,6.699,173.024,5.85289,5.12514,1.59017,2.77786,4.08613,-0.682923,1018.51,1,1
13776624,0,-134.963,-63.0657,-53.2616,-153.13,12.5178,161.752,5.48814,6.19832,1.90699,3.45242,3.41643,-0.678106,1021.16,1,1
13932148,0,-134.981,-59.0399,-53.2748,-153.123,12.5022,167.195,5.49134,6.19957,1.90791,2.6722,3.41813,-0.678472,1021.16,1,1
14021661,0,-134.726,-56.4988,-53.141,-141.689,12.7335,167.062,5.64088,5.04681,1.95946,4.11679,3.21454,-0.696645,1021.16,1,1
14057983,0,-134.718,-56.4931,-53.1403,-141.687,12.738,167.065,5.64104,5.04742,1.95976,4.11778,3.21496,-0.696608,1021.16,1,1
14107757,0,-125.629,-60.1186,-51.2587,-141.722,12.8933,161.515,5.63633,6.22486,3.05289,4.94826,3.122,-0.678113,1021.16,1,1
14185949,0,-129.708,-60.0203,-45.2507,-141.654,12.7872,161.657,4.68973,6.15755,2.41508,4.94301,3.12928,-0.678862,1021.16,1,1
14250415,0,-129.576,-50.5016,-52.5482,-141.365,14.2616,168.253,4.80443,5.0532,1.9799,4.8107,3.17684,-0.696431,1018.51,1,1
14357388,0,-129.57,-50.4968,-52.5569,-141.366,14.2596,168.252,4.80386,5.05313,1.98022,4.81227,3.17717,-0.696441,1018.5,1,1
14528496,0,-125.513,-50.4843,-58.2319,-141.339,14.2587,168.222,5.74773,5.11153,2.63596,4.81736,3.16935,-0.695726,1018.51,1,1
14583344,0,-125.522,-50.4947,-58.2341,-141.336,14.2718,168.213,5.74937,5.10867,2.63394,4.81798,3.16874,-0.695804,1018.51,1,1
14658743,0,-123.595,-49.9353,-44.7436,-135.084,14.1657,167.297,4.15496,5.12687,2.56032,4.94112,2.53627,-0.708346,1021.17,1,1
14750331,0,-116.762,-49.9732,-38.6701,-135.086,14.2625,167.229,3.53671,6.25831,3.16158,4.82925,2.47192,-0.690496,1021.17,1,1
14837805,0,-116.716,-44.9954,-38.6179,-127.341,14.2421,167.236,3.61771,5.13004,3.24675,5.80566,1.99679,-0.708223,1021.18,1,1
14892308,0,-116.712,-45.0007,-38.6235,-127.34,14.2324,167.217,3.61537,5.12736,3.24638,5.80643,1.99494,-0.708323,1021.18,1,1
14935084,0,-116.706,-44.9289,-38.6933,-127.3,14.1641,167.299,3.61022,5.12365,3.24894,5.81011,1.99864,-0.708288,1021.18,1,1
14975823,0,-116.709,-44.9724,-38.7299,-127.325,14.1826,167.247,3.61573,5.12004,3.24699,5.81317,1.99794,-0.708465,1021.18,1,1
15149008,0,-116.626,-40.0459,-38.7531,-135.138,14.2032,167.236,3.60952,5.19011,3.24379,4.96344,1.46198,-0.707216,1021.19,1,1
15175064,0,-116.595,-44.7731,-38.7125,-135.11,14.2154,161.853,3.60494,5.19023,3.24397,5.77896,1.46107,-0.706746,1021.2,1,1
15330592,0,-116.626,-44.9239,-38.6936,-127.301,14.2262,167.281,3.61422,5.12364,3.24891,5.81844,1.99856,-0.708306,1021.19,1,1
15440913,0,-116.647,-44.9358,-38.697,-127.322,14.2225,167.283,3.6159,5.1254,3.24878,5.81308,1.9989,-0.708287,1021.18,1,1
15476368,0,-116.552,-49.0053,-38.7137,-127.336,14.2944,161.838,3.61971,5.12257,3.24689,6.78179,1.99817,-0.707982,1021.19,1,1
15540706,0,-116.545,-44.9654,-38.7214,-127.338,14.2958,167.227,3.62293,5.12652,3.24955,5.82877,2.00007,-0.708317,1021.19,1,1
15607934,0,-116.507,-44.9306,-38.6929,-127.257,14.3343,167.265,3.62167,5.12083,3.24747,5.83446,2.00107,-0.708534,1021.17,1,1
15783711,0,-116.507,-44.9285,-38.6913,-127.256,14.3348,167.266,3.62141,5.12057,3.24732,5.83454,2.00095,-0.708538,1021.18,1,1
15805890,0,-116.285,-44.9346,-38.737,-127.299,14.5315,167.213,3.64166,5.12172,3.24726,5.85484,2.00242,-0.708664,1021.19,1,1
15853302,0,-116.266,-44.9263,-38.7242,-127.284,14.5484,167.215,3.64134,5.12069,3.24681,5.85737,2.00205,-0.708705,1021.19,1,1
16002137,0,-108.589,-40.804,-34.0436,-127.264,14.5696,168.408,3.13157,6.12991,3.899,6.55925,1.92326,-0.679833,1021.17,1,1
16154510,0,-108.662,-40.7647,-34.0207,-127.228,14.4689,168.48,3.12069,6.13242,3.90276,6.54135,1.92314,-0.679669,1021.17,1,1
16258262,0,-116.269,-44.8925,-38.8228,-127.283,14.4775,167.224,3.638,5.11359,3.24819,5.86558,2.00243,-0.70883,1021.18,1,1
16404661,0,-113.156,-44.9248,-44.8284,-127.312,14.4754,167.2,4.6106,5.17842,3.9109,5.85264,1.99909,-0.707805,1021.18,1,1
16587697,0,-106.242,-40.7862,-39.8765,-117.668,14.6042,167.179,4.24274,5.16811,4.72075,6.86288,1.61525,-0.708081,1021.2,1,1
16734578,0,-113.052,-40.7917,-44.816,-117.675,14.6054,167.17,4.73989,4.14582,4.008,7.04138,1.65681,-0.7265,1021.2,1,1
16883901,0,-108.568,-40.7659,-34.067,-117.596,14.5984,167.187,3.26549,5.09727,4.05844,6.87607,1.61607,-0.709359,1021.19,1,1
16942771,0,-108.579,-40.7713,-34.0661,-117.601,14.5947,167.182,3.26584,5.09788,4.05879,6.87481,1.61578,-0.709339,1021.2,1,1
17050341,0,-108.556,-40.7604,-38.6934,-127.029,16.4206,168.31,3.26598,5.09841,3.25881,6.87643,1.98745,-0.708951,1021.19,1,1
17173565,0,-108.597,-40.7672,-34.0883,-117.672,14.565,167.177,3.26374,5.10088,4.05824,6.87058,1.6148,-0.709197,1021.2,1,1
17297732,0,-108.445,-40.7173,-38.7058,-127.067,16.4831,168.312,3.26537,5.09974,3.2561,6.89546,1.98919,-0.708879,1021.19,1,1
17406583,0,-108.454,-40.7189,-38.7014,-127.064,16.4697,168.312,3.26363,5.09941,3.25608,6.89381,1.98873,-0.708896,1021.19,1,1
17510359,0,-106.053,-40.7138,-44.727,-127.035,16.5619,168.307,4.24644,5.15695,3.91669,6.89611,1.98707,-0.708129,1021.18,1,1
17562173,0,-108.327,-40.6515,-38.7714,-127.029,16.5388,168.363,3.26708,5.09084,3.25315,6.91235,1.99253,-0.709099,1021.18,1,1
17612377,0,-108.37,-44.7488,-38.7469,-127.057,16.5938,163.361,3.27542,5.08967,3.25131,7.86628,1.98828,-0.708816,1021.19,1,1
17655477,0,-108.36,-44.7335,-38.7468,-127.069,16.589,163.369,3.27315,5.08997,3.25064,7.86768,1.98817,-0.708757,1021.18,1,1
17779904,0,-106.074,-40.7524,-44.7243,-127.07,16.5919,168.268,4.25443,5.16155,3.91754,6.8977,1.98727,-0.707998,1021.19,1,1
17872007,0,-106.053,-40.7356,-44.7346,-127.061,16.6149,168.284,4.25633,5.15961,3.91666,6.90013,1.98818,-0.708043,1021.19,1,1
17942471,0,-105.987,-40.709,-44.7745,-127.054,16.6468,168.277,4.25414,5.1502,3.91226,6.91252,1.98706,-0.708368,1021.18,1,1
18031327,0,-105.975,-44.7379,-44.7815,-127.084,16.6757,163.348,4.25615,5.15042,3.91,7.87252,1.9871,-0.707914,1021.19,1,1
18142766,0,-106.047,-37.2464,-38.7383,-127.048,23.2488,169.272,4.15915,5.00816,3.19594,7.89861,1.95982,-0.697088,1021.18,1,1
18320740,0,-106.084,-40.6135,-38.7221,-126.981,23.1296,168.406,4.21093,5.08994,3.25144,6.91327,1.99321,-0.708585,1021.18,1,1
