angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-153.484,-24.2962,-30.9764,-156.278,4.23082,176.546,1.95909,3.53858,0.847594,2.34322,1.42208,-0.617804,533.495,1,1,center
-156.001,-26.7476,-31.0423,-156.334,3.88972,176.296,2.36151,3.54514,0.851351,1.96205,1.42231,-0.617343,534.744,1,1,center
-150.985,-32.0502,-38.3329,-150.074,4.01864,176.221,2.58257,3.54183,1.01604,2.17622,1.58549,-0.617651,534.77,1,1,center
-150.579,-36.9748,-39.6281,-139.606,0.30153,179.614,2.54011,4.06472,1.46011,2.41443,2.01082,-0.589701,534.792,1,1,center
-143.065,-40.9941,-35.8796,-139.367,3.79915,176.183,2.34102,4.54213,1.71585,2.64422,1.96893,-0.589718,534.786,1,1,center
-146.07,-40.8736,-44.9235,-139.303,0.117035,176.343,2.75795,4.00092,1.70574,2.68818,2.01222,-0.599706,534.771,1,1,center
-142.946,-40.9491,-44.9095,-135.216,0.250777,179.781,2.43902,4.11135,1.74087,2.75874,2.34883,-0.596289,534.759,1,1,center
-135.19,-40.935,-49.0333,-135.248,0.31472,179.787,2.40589,4.1424,2.05313,2.79408,2.38124,-0.604162,534.75,1,1,center
-135.216,-40.8819,-44.9824,-139.267,4.3008,176.34,2.37379,4.08951,1.74168,2.76112,2.06447,-0.614595,534.74,1,1,center
-135.277,-37.9744,-53.9724,-135.204,0.284584,179.771,2.44975,3.60517,1.8229,3.2357,2.42299,-0.615927,533.491,1,1,center
-138.813,-38.0088,-59.5043,-135.214,0.44116,179.749,2.87201,3.1108,1.63322,3.29664,2.46887,-0.62754,533.485,1,1,center
-135.175,-41.4506,-50.1987,-131.201,4.77833,176.214,2.5294,3.17051,1.56141,3.69523,2.18712,-0.63536,533.468,1,1,center
-135.183,-41.4091,-55.831,-135.234,5.14366,176.449,2.49432,3.13266,1.32963,3.65693,2.46948,-0.645189,533.475,1,1,center
-138.956,-44.5138,-56.1102,-135.202,4.65908,176.202,2.87103,3.10466,1.32667,3.25537,2.46202,-0.646332,533.47,1,1,center
-135.202,-41.0556,-56.0647,-139.302,5.22915,176.097,2.54312,3.12246,1.34143,2.95233,2.18417,-0.654792,532.19,1,1,center
-138.755,-37.9777,-56.0213,-135.209,4.86579,176.068,2.92706,2.62971,1.34907,3.38369,1.8778,-0.659288,532.15,1,1,center
-142.907,-38.0164,-51.3205,-135.184,4.80774,176.039,2.611,2.64887,1.08056,3.37773,1.8724,-0.658773,532.148,1,1,center
-143.115,-33.9176,-50.9428,-140.369,4.90359,176.002,2.60114,2.62709,1.06552,3.03798,1.58762,-0.659634,532.153,1,1,center
-153.098,-33.7274,-37.0019,-146.358,4.85282,172.488,2.09288,2.65117,0.662475,3.01747,1.35959,-0.658523,532.161,1,1,center
-147.844,-26.773,-36.6884,-153.357,9.56443,175.787,2.34041,2.66105,0.661878,2.14368,1.19938,-0.6675,532.188,1,1,center
-147.703,-31.9074,-27.3245,-156.535,13.862,172.49,2.24567,3.07496,0.517867,2.26418,1.45834,-0.656793,533.461,1,1,center
-144.31,-32.1211,-31.3098,-156.314,9.4722,172.426,1.84527,3.54386,0.844136,2.24097,1.4364,-0.645729,533.457,1,1,center
-135.132,-29.4831,-31.0492,-156.365,15.0072,172.829,1.76848,3.53605,0.845626,2.58848,1.42242,-0.654774,533.49,1,1,center
-139.51,-29.3181,-30.689,-156.508,13.8953,172.891,2.07026,3.53935,0.842015,2.57249,1.41828,-0.636409,533.477,1,1,center
-150.1,-31.9151,-26.8774,-149.986,4.46906,176.294,1.59741,4.09641,1.08851,2.17471,1.5767,-0.615055,533.489,1,1,center
-139.445,-33.9694,-38.7829,-144.14,9.18102,176.456,2.1037,3.59914,1.03366,2.88457,1.83585,-0.625126,533.466,1,1,center
-135.113,-37.9258,-55.7128,-139.331,5.22088,176.472,2.48975,3.11569,1.32783,3.29641,2.16474,-0.645045,532.177,1,1,center
-131.576,-41.0556,-49.9838,-129.96,9.30137,175.682,3.00214,2.68716,1.61714,3.02051,1.63629,-0.675445,517.881,1,1,center
-135.252,-41.0168,-49.987,-125.986,4.87077,179.718,2.62842,2.70499,1.61584,3.01567,1.94751,-0.67462,517.858,1,1,center
-138.745,-37.1094,-49.6597,-124.022,4.55631,179.702,3.06693,2.25821,1.66436,2.74327,1.42373,-0.689117,517.859,1,1,center
-138.766,-41.0458,-44.692,-114.027,4.21573,179.749,3.06866,2.28512,1.9584,3.06198,1.5607,-0.6886,517.838,1,1,center
-138.744,-41.0401,-44.6586,-120.009,4.21619,179.844,2.97728,2.6827,1.90391,2.95815,1.6847,-0.667263,517.822,1,1,center
-138.753,-41.1025,-40.5318,-113.862,3.94287,179.815,3.018,2.72081,2.25841,2.98786,1.52822,-0.656921,517.812,1,1,center
-138.707,-41.009,-40.4857,-113.788,4.01558,179.851,3.01903,2.71555,2.25425,2.99555,1.52769,-0.657092,517.817,1,1,center
-138.687,-41.0359,-40.4833,-113.849,4.03603,179.711,2.9835,2.68551,2.22622,2.97489,1.50841,-0.666991,517.806,1,1,center
-138.708,-40.9941,-40.4672,-113.789,4.03614,179.764,2.98072,2.67952,2.22332,2.97067,1.50679,-0.667419,517.835,1,1,center
-138.626,-37.8903,-40.453,-116.938,4.13065,175.328,2.95426,2.62273,2.19602,3.3634,1.17865,-0.660024,517.8,1,1,center
-138.7,-37.8581,-35.6939,-123.743,7.62515,175.563,2.85526,3.06403,1.86501,3.27156,1.30523,-0.638751,516.579,1,1,center
-138.798,-33.7593,-35.6269,-128.697,7.55466,175.678,2.84129,3.06468,1.86273,2.96708,1.05201,-0.637936,516.548,1,1,center
-138.847,-33.8502,-35.3733,-130.159,7.70576,179.617,2.78199,3.57857,1.81167,2.89885,1.49252,-0.60783,516.543,1,1,center
-150.645,-32.0841,-23.4756,-146.423,7.1466,175.862,2.51676,4.0746,1.38578,2.13772,1.25459,-0.589524,516.491,1,1,center
-147.992,-35.3107,-16.5889,-156.423,11.0972,172.016,2.11564,4.59608,1.24837,1.76515,1.35785,-0.596048,516.461,1,1,center
-148.044,-32.1056,-26.4383,-156.572,8.14486,172.383,2.17325,4.0924,1.09945,2.16074,1.3959,-0.597063,515.262,1,1,center
-143.296,-26.8765,-26.6379,-153.43,12.04,175.834,2.50283,3.61115,1.11592,2.00241,1.14264,-0.614988,515.216,1,1,center
-150.836,-29.7525,-36.5011,-156.491,8.84491,175.828,2.73705,3.11647,0.652226,1.71495,1.48155,-0.636135,515.164,1,1,center
-148.157,-29.665,-36.5683,-156.456,9.39375,175.907,2.34202,3.15434,0.660834,1.73339,1.50095,-0.644306,515.161,1,1,center
